brand,category,price,product_id,thumbnail_url,url,was_price
Haier,Air Conditioners & Accessories,"SAR2,649",HSU-24LPB13/R2-T3,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/h/a/haier_split_air_conditioner_22000btu_cold_only_wi-fi_-_hsu-24lpb13_r2-t3.jpeg,https://blackbox.com.sa/en/haier-split-air-conditioner-22000btu-cold-only-wi-fi.html,"SAR3,799"
Gree,Air Conditioners & Accessories,"SAR2,699",GWC24AGEXF-D3NTA1B/I/O,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/g/r/gree_split_air_conditioner_polar_22100btu_wifi_cold_only_-_gwc24agexf-d3nta1bio.jpg,https://blackbox.com.sa/en/gree-split-air-conditioner-polar-22100btu-wifi-cold-only.html,"SAR4,250"
Haier,Air Conditioners & Accessories,"SAR3,159",HSU-12LPB13/R2-T3,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/h/a/haier_split_air_conditioner_12400btu_hot-cold_wi-fi_-_hsu-12hpb13_r2-t3.jpeg,https://blackbox.com.sa/en/haier-split-air-conditioner-12400btu-cold-only-wi-fi.html,"SAR4,039"
Raudi,TV,SAR599,CRL48-180,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/t/v/tv_table_without_stand_walnut_-_crl48-180_-_blackbox.jpg,https://blackbox.com.sa/en/tv-table-without-stand-black-cr43-160hc-6.html,"SAR1,219"
Panasonic,Air Conditioners & Accessories,"SAR2,649",CS/CU-YW24WKS,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/p/a/panasonic_split_air_conditioner_21000btu_hot_cold_4_way_swing_-_cscu-yw24wks.jpg,https://blackbox.com.sa/en/panasonic-split-air-conditioner-21000btu-hot-cold-4way-swing-cs-cu-yw24wks.html,"SAR4,149"
Samsung,TV,"SAR2,599",UA55BU8000UXSA,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/a/samsung_led_tv_85inch_smart_crystal_processor_4k_hdr_10_series_8_-_ua85bu8000uxsa.3_1_1_1_1.jpg,https://blackbox.com.sa/en/samsung-led-tv-55inch-smart-crystal-processor-4k-hdr-10-series-8-ua550bu8000uxsa-1411118231400051.html,"SAR4,999"
Sony,TV,"SAR4,999",KD-65X85L,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/o/sony_led_tv_65inch_full_array_led_4k_ultra_hd_smart_google_tv_-_kd-65x85l_1.jpg,https://blackbox.com.sa/en/sony-led-tv-65inch-full-array-led-4k-ultra-hd-smart-google-tv.html,"SAR10,999"
Sony,TV,"SAR5,174",KD-75X80L,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/s/o/sony_led_tv_75inch_4k_processor_x1_hdr_smart_android_tv_-_kd-75x80l.jpg,https://blackbox.com.sa/en/sony-led-tv-75inch-4k-processor-x1-hdr-smart-android-tv.html,"SAR17,999"
Momax,Smartphones & Tablets,SAR39,UC15E,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/b/a/baseus_car_charger_dual_ports_qc3.0_pd_38w_grey_-_uc15e.1.jpg,https://blackbox.com.sa/en/momax-car-charger-dual-ports-qc3-0-pd-38w-grey-uc15e.html,SAR49
Momax,Smartphones & Tablets,SAR49,UC16E,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/o/momax_move_car_charger_dual_ports_usb-c_usb-a_67w_grey_-_uc16e.2.jpg,https://blackbox.com.sa/en/momax-move-car-charger-dual-ports-usb-c-usb-a-67w-grey-uc16e.html,SAR69
Momax,Smartphones & Tablets,SAR69,UM32UKD,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/o/momax_wall_charger_mini_35w_2-port_usb-c_gan_technology_black_-_um30ukdhk1.jpg,https://blackbox.com.sa/en/momax-wall-charger-mini-35w-2-port-usb-c-gan-technology-black-um32ukd.html,SAR89
Momax,Smartphones & Tablets,SAR29,DC23D,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/o/momax_1-link_flow_silicone_usb-c_to_usb-c_charging_cable_60w_1.2m_black_-_dc23d.jpg,https://blackbox.com.sa/en/momax-1-link-flow-silicone-usb-c-to-usb-c-charging-cable-60w-1-2m-black-dc23d.html,SAR39
Momax,Smartphones & Tablets,SAR69,UM32UKW,https://blackbox.com.sa/media/catalog/product/cache/0a223e35cc64ce5778706694387874ed/m/o/momax_wall_charger_mini_35w_2-port_usb-c_gan_technology_white_-_um32ukw.jpg,https://blackbox.com.sa/en/momax-wall-charger-mini-35w-2-port-usb-c-gan-technology-white-um32ukw.html,SAR89
